"#","English","Myanmar","Source","In code?","Notes"
"316","Receive","လက်ခံရရှိ","i18n","yes","i18n key: statusReceive"
"317","Recent Work Orders","လတ်တလော ပြုပြင်ရေး လက်မှတ်များ","i18n","yes","i18n key: dashRecentWorkOrders"
"318","Recycle Bin","အမှိုက်ပုံး","i18n","yes","i18n key: recycleBin"
"319","Recycle Bin & Archived Tickets","အမှိုက်ပုံးနှင့် မှတ်တမ်းသိမ်း လက်မှတ်များ","domTranslate","yes",""
"320","Refresh","ပြန်လည်ရယူမည် ⚠CONFLICT(ပြန်လည်စတင်ရန်)","domTranslate+i18n","yes","i18n key: refresh"
"321","Refresh Data Now","ယခု ပြန်လည်ရယူမည်","domTranslate","yes",""
"322","Refreshing…","ပြန်လည်ရယူနေသည်…","domTranslate","yes",""
"323","Register Device","စက်ပစ္စည်း မှတ်ပုံတင်မည်","i18n","yes","i18n key: registerDevice"
"324","Register Device & Generate Voucher","စက်ပစ္စည်း စာရင်းသွင်းပြီး Voucher ထုတ်မည်","domTranslate","yes",""
"325","Registering…","စာရင်းသွင်းနေသည်…","domTranslate","yes",""
"326","Remaining","ကျန်ငွေ","domTranslate","yes",""
"327","Remarks","မှတ်ချက်","domTranslate","yes",""
"328","Remove","ဖယ်ရှားမည်","domTranslate","yes",""
"329","Reorder Point","ပြန်မှာရန် သတ်မှတ်ချက် ⚠CONFLICT(ပြန်လည်မှာယူမည့် ပမာဏ)","domTranslate+i18n","yes","i18n key: reorderLevel"
"330","REPAIR","ပြုပြင်ရေး","i18n","yes","i18n key: navRepair"
"331","Repair History","ပြုပြင်ခဲ့သည့် မှတ်တမ်း","i18n","yes","i18n key: crmRepairHistory"
"332","Repair Shop Operating System","စက်ပစ္စည်းပြုပြင်ရေးဆိုင် စီမံခန့်ခွဲမှုစနစ်","i18n","yes","i18n key: appSubtitle"
"333","RepairDesk Pro ERP","RepairDesk Pro ပြုပြင်ရေး ERP","i18n","yes","i18n key: appTitle"
"334","Repairs","ပြုပြင်မှု","domTranslate","yes",""
"335","Reported Issue","သတင်းပို့ထားသော ချို့ယွင်းချက်","i18n","yes","i18n key: issueReported"
"336","Reschedule","ပြန်ချိန်းမည်","domTranslate","yes",""
"337","Reset","ပြန်သတ်မှတ်မည် ⚠CONFLICT(မူလအတိုင်းပြန်ထားမည်)","domTranslate+i18n","yes","i18n key: reset"
"338","Reset active search & filters","ရှာဖွေမှုနှင့် စစ်ထုတ်မှုများ ပြန်သတ်မှတ်မည်","domTranslate","yes",""
"339","Reset Draft","အကြမ်းဖျဉ်း ပြန်သတ်မှတ်မည်","domTranslate","yes",""
"340","Reset Filters","စစ်ထုတ်မှု ပြန်သတ်မှတ်မည်","domTranslate","yes",""
"341","Reset settings draft","ဆက်တင် အကြမ်းဖျဉ်း ပြန်သတ်မှတ်မည်","domTranslate","yes",""
"342","Retry","ထပ်စမ်းမည်","domTranslate","yes",""
"343","Return Tracking","ပြန်အပ် ခြေရာခံ","domTranslate","yes",""
"344","Revenue","ဝင်ငွေ","domTranslate","yes",""
"345","RMA # & Date","RMA နံပါတ်နှင့် ရက်စွဲ","domTranslate","yes",""
"346","Role","အခန်းကဏ္ဍ","domTranslate","yes",""
"347","Save","သိမ်းမည် ⚠CONFLICT(သိမ်းဆည်းမည်)","domTranslate+i18n","yes","i18n key: save"
"348","Save all settings","ဆက်တင်အားလုံး သိမ်းမည်","domTranslate","yes",""
"349","Save All Settings","ဆက်တင်အားလုံး သိမ်းမည်","domTranslate","yes",""
"350","Save Changes","ပြောင်းလဲမှုများ သိမ်းမည်","domTranslate","yes",""
"351","Save Error — Check Connection","သိမ်းရာတွင် အမှား — ချိတ်ဆက်မှု စစ်ဆေးပါ","domTranslate","yes",""
"352","Save Ticket Changes","လက်မှတ် ပြောင်းလဲမှုများ သိမ်းမည်","domTranslate","yes",""
"353","Saved","သက်သာငွေ","domTranslate","yes",""
"354","saved successfully","အောင်မြင်စွာ သိမ်းဆည်းပြီး","domTranslate","yes",""
"355","Scan","စကင်ဖတ်မည်","domTranslate","yes",""
"356","Scan QR / Barcode","QR / Barcode ဖတ်မည်","domTranslate","yes",""
"357","Search","ရှာဖွေမည်","domTranslate","yes",""
"358","Search Name, Phone, Email...","အမည်၊ ဖုန်း၊ အီးမေးလ် ရှာဖွေပါ...","domTranslate","yes",""
"359","Search Ticket #, Customer, Model, IMEI...","လက်မှတ် နံပါတ်၊ ဝယ်ယူသူ၊ မော်ဒယ်၊ IMEI ရှာဖွေပါ...","domTranslate","yes",""
"360","Search Ticket #, Customer, Phone...","လက်မှတ် နံပါတ်၊ ဝယ်ယူသူ၊ ဖုန်း ရှာဖွေပါ...","domTranslate","yes",""
"361","Search tickets, parts, customers","လက်မှတ်၊ အပိုပစ္စည်း၊ ဝယ်ယူသူ ရှာဖွေပါ","domTranslate","yes",""
"362","Search tickets, parts, customers…","လက်မှတ်၊ အပိုပစ္စည်း၊ ဝယ်ယူသူ ရှာဖွေပါ…","domTranslate","yes",""
"363","Search Vendor, Part, RMA #...","ပေးသွင်းသူ၊ အပိုပစ္စည်း၊ RMA နံပါတ် ရှာဖွေပါ...","domTranslate","yes",""
"364","Search...","ရှာဖွေပါ...","i18n","yes","i18n key: search"
"365","Select","ရွေးမည်","domTranslate","yes",""
"366","Select a device model first to see real color options","အရောင်အစစ်များ ကြည့်ရန် စက်ပစ္စည်း အရင်ရွေးပါ","domTranslate","yes",""
"367","Select Device Model","စက်ပစ္စည်း ရွေးပါ","domTranslate","yes",""
"368","Select Model","ရွေးမည်","domTranslate","yes",""
"369","Selected Color","ရွေးထားသော အရောင်","domTranslate","yes",""
"370","Selling","ရောင်းဈေး","domTranslate","yes",""
"371","Selling Price","ရောင်းဈေး","domTranslate","yes",""
"372","Serial / IMEI Number","စီရီရယ် / IMEI နံပါတ်","i18n","yes","i18n key: serialOrImei"
"373","Serial Number","Serial Number","domTranslate","yes",""
"374","Serial Number & IMEI Information","Serial Number နှင့် IMEI အချက်အလက်","domTranslate","yes",""
"375","Settings","ဆက်တင်များ","domTranslate+i18n","yes","i18n key: settings"
"376","Share","မျှဝေမည်","domTranslate","yes",""
"377","Shop Finance & P&L Engine","ဆိုင်ဘဏ္ဍာရေးနှင့် အမြတ်/ဆုံးရှုံး စာရင်း","domTranslate","yes",""
"378","Shop Name","ဆိုင်အမည်","i18n","yes","i18n key: shopName"
"379","Show","ပြမည်","domTranslate","yes",""
"380","SKU / Part #","ပစ္စည်း အမှတ်","i18n","yes","i18n key: skuNumber"
"381","Snooze","ရွှေ့ဆိုင်းမည်","domTranslate","yes",""
"382","SPECIALIZED","အထူးပြုစနစ်","i18n","yes","i18n key: navSpecialized"
"383","Staff","ဝန်ထမ်း","domTranslate","yes",""
"384","Stage","အဆင့်","domTranslate","yes",""
"385","Stage & Status","အဆင့်နှင့် အခြေအနေ","domTranslate","yes",""
"386","Stagnant Ticket Alert (>48 Hours Unchanged)","သတိပေးချက်: ၄၈ နာရီကျော် မပြောင်းလဲသေးသော လက်မှတ်","i18n","yes","i18n key: stagnantWarning"
"387","Stagnant Tickets (>48h)","ကြန့်ကြာနေသော လက်မှတ်များ (>၄၈ နာရီ)","i18n","yes","i18n key: dashStagnantJobs"
"388","Start with Step 1 — customer name & phone","အဆင့် ၁ မှ စတင်ပါ — ဝယ်ယူသူ အမည်နှင့် ဖုန်း","domTranslate","yes",""
"389","Status","အခြေအနေ","domTranslate","yes",""
"390","Status Queue","အခြေအနေ အစီအစဉ်","domTranslate","yes",""
"391","Status Queue 2 Active","အခြေအနေ အစီအစဉ်","domTranslate","yes",""
"392","Status Transition Timeline & Audit Trail","အခြေအနေ ပြောင်းလဲမှု မှတ်တမ်းလိုင်း","i18n","yes","i18n key: timelineTitle"
"393","Stock","လက်ကျန်","domTranslate","yes",""
"394","Stock Quantity","လက်ကျန် အရေအတွက်","domTranslate","yes",""
"395","Submit","တင်သွင်းမည်","domTranslate","yes",""
"396","Subtotal","ပစ္စည်းစုစုပေါင်း","domTranslate","yes",""
"397","Success","အောင်မြင်သည်","domTranslate","yes",""
"398","Supabase database","Supabase database","domTranslate","yes",""
"399","Supplier","ပေးသွင်းသူ","domTranslate","yes",""
"400","Supplier Debts","ပေးသွင်းသူ ကြွေးများ","domTranslate","yes",""
"401","Suppliers & Vendor RMAs","ပစ္စည်းပေးသွင်းသူနှင့် RMA များ ⚠CONFLICT(ပစ္စည်းပေးသွင်းသူနှင့် အာမခံ ပြန်အပ်လွှဲ)","domTranslate+i18n","yes","i18n key: navSuppliers"
"402","Symptoms / Service","လက္ခဏာ / ဝန်ဆောင်မှု","domTranslate","yes",""
"403","System Language","စနစ် ဘာသာစကား","domTranslate","yes",""
"404","System Language & Localization","စနစ် ဘာသာစကားနှင့် ဒေသသတ်မှတ်ချက်","domTranslate","yes",""
"405","System Management","စနစ် စီမံခန့်ခွဲမှု","domTranslate+i18n","yes","i18n key: navSettings"
"406","System online","စနစ် အွန်လိုင်း","domTranslate","yes",""
"407","System Settings & Branding","စနစ် ဆက်တင်နှင့် အမှတ်တံဆိပ်","i18n","yes","i18n key: settingsTitle"
"408","Take / Add Photo","ဓာတ်ပုံ ရိုက်/ထည့်မည်","domTranslate","yes",""
"409","Taken Out","ထုတ်ယူသွား","i18n","yes","i18n key: statusTakenOut"
"410","Tax Rate (%)","အခွန်နှုန်း (%)","i18n","yes","i18n key: taxRate"
"411","Technician","နည်းပညာရှင်","domTranslate","yes",""
"412","Technician Payouts","နည်းပညာရှင် ပေးချေမှုများ","domTranslate","yes",""
"413","Technician Workload","နည်းပညာရှင်များ ဝန်ထမ်းဆောင်မှု","i18n","yes","i18n key: dashTechnicianPerformance"
"414","Technicians","နည်းပညာရှင်များ","domTranslate","yes",""
"415","Technicians 3 Staff","နည်းပညာရှင်များ","domTranslate","yes",""
"416","Theme Color Palette","အပြင်အဆင် ရောင်စုံ","i18n","yes","i18n key: themePreset"
"417","This action cannot be undone","ဤလုပ်ဆောင်ချက်ကို ပြန်၍မရနိုင်ပါ","domTranslate","yes",""
"418","This ERP uses live Supabase data only. Reconnect to open the system.","ဤ ERP သည် live Supabase data ကိုသာ သုံးသည်။ စနစ်ဖွင့်ရန် ပြန်ချိတ်ဆက်ပါ။","domTranslate","yes",""
"419","This Month","ယခုလ","domTranslate","yes",""
"420","This Week","ယခုအပတ်","domTranslate","yes",""
"421","Ticket #","လက်မှတ် နံပါတ်","domTranslate","yes",""
"422","Ticket # & Date","လက်မှတ် နံပါတ်နှင့် ရက်စွဲ","domTranslate","yes",""
"423","Time","အချိန်","domTranslate","yes",""
"424","Today","ယနေ့","domTranslate","yes",""
"425","Toggle Navigation Menu","မီနူး ဖွင့်/ပိတ်မည်","domTranslate","yes",""
"426","Total","စုစုပေါင်း","domTranslate","yes",""
"427","Total Amount","စုစုပေါင်း ပမာဏ","i18n","yes","i18n key: posTotal"
"428","Total Due","ပေးရမည့် စုစုပေါင်း","domTranslate","yes",""
"429","Total Expenses","စုစုပေါင်း ကုန်ကျစရိတ်","domTranslate","yes",""
"430","Total Orders","မှာယူမှု စုစုပေါင်း","domTranslate","yes",""
"431","Total Revenue","စုစုပေါင်း ဝင်ငွေ","domTranslate","yes",""
"432","Total Spent","သုံးစွဲမှု စုစုပေါင်း ⚠CONFLICT(စုစုပေါင်း သုံးစွဲမှု)","domTranslate+i18n","yes","i18n key: crmTotalSpent"
"433","Total Tickets","လက်မှတ် စုစုပေါင်း","domTranslate","yes",""
"434","Town","မြို့","domTranslate","yes",""
"435","Town / City","မြို့","domTranslate","yes",""
"436","Type","အမျိုးအစား","domTranslate","yes",""
"437","Type at least 2 characters — search covers tickets, parts & customers.","စာလုံး ၂ လုံးထက် ရိုက်ပါ — လက်မှတ်၊ အပိုပစ္စည်းနှင့် ဝယ်ယူသူ အားလုံးတွင် ရှာဖွေပါမည်။","domTranslate","yes",""
"438","Unassigned","တာဝန်မပေးရသေးပါ","i18n","yes","i18n key: unassigned"
"439","Unavailable","မရရှိနိုင်ပါ","domTranslate","yes",""
"440","Unit Price","တစ်ခုဈေး ⚠CONFLICT(တစ်ခုချင်း ဈေးနှုန်း)","domTranslate+i18n","yes","i18n key: unitPrice"
"441","Unknown","မသိ","domTranslate","yes",""
"442","UNKNOWN","မသိ","domTranslate","yes",""
"443","Up to 4MB per photo · hover a thumbnail to delete · on mobile the camera opens directly.","ဓာတ်ပုံတစ်ပုံ လျှင် 4MB အထိ · ပုံသေးပေါ်တွင် ရွေ့ပြီး ဖျက်နိုင်သည် · ဖုန်းတွင် ကင်မရာ တိုက်ရိုက်ဖွင့်သည်။","domTranslate","yes",""
"444","Update","မွမ်းမံမည်","domTranslate","yes",""
"445","Upload","တင်မည်","domTranslate","yes",""
"446","Upload device photos","စက်ပစ္စည်း ဓာတ်ပုံများ တင်မည်","domTranslate","yes",""
"447","User","အသုံးပြုသူ","domTranslate","yes",""
"448","User Management","အသုံးပြုသူ စီမံခန့်ခွဲမှု","domTranslate","yes",""
"449","Users","အသုံးပြုသူများ","domTranslate","yes",""
"450","Vendor","ပေးသွင်းသူ","domTranslate","yes",""
"451","View","ကြည့်မည်","domTranslate","yes",""
"452","View active repairs queue","ပြုပြင်ဆဲ စာရင်း ကြည့်မည်","domTranslate","yes",""
"453","View finance overview","ဘဏ္ဍာရေး ခြုံငုံ ကြည့်မည်","domTranslate","yes",""
"454","View part details","အပိုပစ္စည်း အသေးစိတ် ကြည့်မည်","domTranslate","yes",""
"455","View ready for pickup","ပြန်ထုတ်ရန် အသင့် ကြည့်မည်","domTranslate","yes",""
"456","View Repair History","ပြုပြင်မှု မှတ်တမ်းကြည့်မည်","i18n","yes","i18n key: crmViewHistory"
"457","View technician KPI","နည်းပညာရှင် KPI ကြည့်မည်","domTranslate","yes",""
"458","Visual Status Pipeline","ပြုပြင်မှု အဆင့်ဆင့် ရုပ်ပုံလိုင်း","i18n","yes","i18n key: pipelineHeader"
"459","Warning","သတိပေးချက်","domTranslate","yes",""
"460","Warranty Dates","အာမခံ ရက်များ","domTranslate","yes",""
"461","Warranty Health Status","အာမခံ ကျန်းမာရေး အခြေအနေ","domTranslate","yes",""
"462","Warranty Policy","အာမခံ မူဝါဒ","domTranslate","yes",""
"463","Warranty Watch","အာမခံ စောင့်ကြည့်မှု","domTranslate","yes",""
"464","Warranty Watch Clear","အာမခံ စောင့်ကြည့်မှု ရှင်းလင်း ⚠CONFLICT(အာမခံ စောင့်ကြည့်မှု)","domTranslate","yes",""
"465","Work Intake & Active Tickets","လက်ခံလက်မှတ်နှင့် ပြုပြင်ဆဲ လက်မှတ်များ","domTranslate+i18n","yes","i18n key: navIntakeFull"
"466","Work Intake & Tickets","လက်ခံလက်မှတ်နှင့် ပြုပြင်ရေး","i18n","yes","i18n key: navIntake"
"467","Work Order #","ပြုပြင်ရေး အမှတ် #","i18n","yes","i18n key: orderNumber"
"468","Work Orders","မှာယူမှုများ","domTranslate","yes",""
"469","Yes","ဟုတ်သည်","domTranslate","yes",""
"470","Yesterday","မနေ့က","domTranslate","yes",""
